sections,Title,description,Punishment
152,Assaulting public servant,Assaulting or obstructing public servant suppressing riot or unlawful assembly.,Up to 3 years imprisonment
153,Provocation with intent to cause riot,Wantonly giving provocation with intent to cause riot—if rioting be committed; if not committed.,Up to 1 year imprisonment
154,Owner of land on which unlawful assembly is held,Owner or occupier of land on which an unlawful assembly is held.,Up to 6 months imprisonment
160,Punishment for committing affray,Punishment for committing affray.,Up to 1 month imprisonment
166,Public servant disobeying law,Public servant disobeying law, with intent to cause injury to any person or Up to 2 years imprisonment
167,Public servant framing incorrect document,Public servant framing an incorrect document with intent to cause injury.,Up to 3 years imprisonment
168,Public servant unlawfully engaging in trade,Public servant unlawfully engaging in trade.,Up to 1 year imprisonment
169,Public servant unlawfully buying property,Public servant unlawfully buying or bidding for property.,Up to 2 years imprisonment
170,Personating a public servant,Pretending to hold a public servant's office and acting as such.,Up to 2 years imprisonment
171,Wearing garb or carrying token used by public servant,Wearing any garb or carrying any token resembling that used by a public servant; with fraudulent intent.,Up to 3 months imprisonment
172,Absconding to avoid summons,Absconding to avoid receiving summons or other proceeding from a public servant.,Up to 1 month imprisonment
173,Preventing service of summons,Preventing the service of a summons or other legal process.,Up to 1 month imprisonment
174,Non-attendance in obedience to summons,Non-attendance in obedience to an order from a public servant.,Up to 1 month imprisonment
175,Omission to produce a document,Omission to produce a document to a public servant by a person legally bound to do so.,Up to 1 month imprisonment
176,Omission to give notice or information to public servant,Failure to give notice or information required by a public servant.,Up to 1 month imprisonment
177,Furnishing false information,Furnishing false information to a public servant.,Up to 6 months imprisonment
178,Refusing oath when duly required,Refusing to take an oath when legally required.,Up to 6 months imprisonment
179,Refusing to answer a public servant,Refusing to answer a public servant authorized to question.,Up to 6 months imprisonment
180,Refusing to sign a statement,Refusing to sign a statement made to a public servant.,Up to 6 months imprisonment
181,False statement on oath,Making a false statement on oath or affirmation.,Up to 3 years imprisonment
182,False information with intent to cause public servant to use his lawful power wrongly,Giving false information with intent to mislead a public servant.,Up to 6 months imprisonment
191,Giving false evidence,Knowingly giving false evidence in judicial proceedings.,Up to 7 years imprisonment
192,Fabricating false evidence,Fabricating false evidence for use in judicial proceedings.,Up to 7 years imprisonment
193,Punishment for false evidence,Punishment for giving or fabricating false evidence.,Up to 7 years imprisonment
197,Issuing or signing false certificates,Issuing or signing a false certificate.,Up to 3 years imprisonment
201,Causing disappearance of evidence,Causing the disappearance of evidence of an offence.,Punishment varies depending on the severity of the offence concealed.
211,False charge of offence,Falsely charging someone with committing an offence.,Up to 7 years imprisonment
225,Resistance to lawful apprehension,Resisting or obstructing lawful apprehension.,Punishment varies depending on the nature of the obstruction.
232,Counterfeiting Indian coin,Counterfeiting Indian currency or coin.,Up to life imprisonment
238,Import or export of counterfeit coin,Importing or exporting counterfeit Indian currency.,Up to 10 years imprisonment
246,Fraudulent alteration of weight of coins,Fraudulently altering the weight of a coin.,Up to 3 years imprisonment
249,Delivery of counterfeit coin,Delivery of counterfeit coin knowingly.,Up to 2 years imprisonment
250,Possession of counterfeit coin,Possessing counterfeit coin with knowledge.,Up to 2 years imprisonment
250,Possession of counterfeit coin,Possessing counterfeit coin with knowledge.,Up to 2 years imprisonment
251,Delivery of altered coin,Delivery of altered Indian coin as genuine.,Up to 3 years imprisonment
252,Possession of altered coin,Possession of altered Indian coin with knowledge.,Up to 3 years imprisonment
263,Erasure of mark on stamped document,Erasing or altering a mark denoting a stamped document.,Up to 3 years imprisonment
272,Adulteration of food or drink,Adulterating food or drink intended for sale.,Up to 6 months imprisonment
273,Sale of noxious food or drink,Selling food or drink unfit for consumption.,Up to 6 months imprisonment
274,Adulteration of drugs,Adulteration of drugs rendering them harmful.,Up to 6 months imprisonment
275,Sale of adulterated drugs,Selling adulterated drugs knowing them to be harmful.,Up to 6 months imprisonment
295,Injuring or defiling a place of worship,Destroying or damaging or defiling a place of worship.,Up to 2 years imprisonment
298,Uttering words to wound religious feelings,Uttering words with intent to wound religious feelings.,Up to 1 year imprisonment
302,Punishment for murder,Committing murder.,Death penalty or life imprisonment and fine.
304,Culpable homicide not amounting to murder,Causing death without intention amounting to murder.,Up to life imprisonment
307,Attempt to murder,Attempting to commit murder.,Up to life imprisonment
312,Causing miscarriage,Causing a woman to miscarry with consent.,Up to 3 years imprisonment
320,Definition of grievous hurt,Acts causing grievous hurt.,Varies based on intent and consequence.
324,Voluntarily causing hurt by dangerous weapons,Causing hurt using dangerous weapons or means.,Up to 3 years imprisonment
326,Voluntarily causing grievous hurt by dangerous weapons,Causing grievous hurt using dangerous weapons.,Up to life imprisonment
332,Voluntarily causing hurt to deter public servant,Hurting a public servant to deter duty.,Up to 3 years imprisonment
354,Assault on a woman to outrage her modesty,Assault or use of force on a woman intending to outrage her modesty.,Up to 5 years imprisonment
363,Punishment for kidnapping,Punishment for kidnapping.,Up to 7 years imprisonment
376,Punishment for rape,Punishment for rape.,Minimum 10 years to life imprisonment
378,Definition of theft,Taking movable property dishonestly.,Up to 3 years imprisonment
383,Extortion,Putting a person in fear to extort property.,Up to 3 years imprisonment
390,Definition of robbery,Committing theft or extortion with immediate violence.,Up to 10 years imprisonment
392,Punishment for robbery,Punishment for committing robbery.,Up to 10 years imprisonment
395,Punishment for dacoity,Punishment for committing dacoity.,Up to life imprisonment
400,Belonging to a gang of dacoits,Being a member of a gang engaged in dacoity.,Up to life imprisonment
401,Punishment for belonging to gang of thieves,Being a member of a gang engaged in theft.,Up to 7 years imprisonment
402,Assembling for purpose of committing dacoity,Assembling with the intent to commit dacoity.,Up to 7 years imprisonment
411,Dishonestly receiving stolen property,Receiving or retaining stolen property knowingly.,Up to 3 years imprisonment
414,Assisting in concealment of stolen property,Helping in concealing or disposing of stolen property.,Up to 3 years imprisonment
420,Cheating and dishonestly inducing delivery of property,Cheating and dishonestly inducing a person to deliver property.,Up to 7 years imprisonment
425,Definition of mischief,Causing wrongful loss or damage to property.,Varies based on severity.
435,Mischief by fire or explosive substance,Causing damage by fire or explosive substances.,Up to 7 years imprisonment
447,Punishment for criminal trespass,Entering property unlawfully with criminal intent.,Up to 3 months imprisonment
452,House-trespass after preparation for hurt or assault or wrongful restraint,House-trespass after preparation for hurt assault o wrongful restraint,Up to 7 years imprisonment and fine.
463,Forgery,Making false documents or altering them fraudulently.,Up to 2 years imprisonment
468,Forgery for cheating,Forgery committed with the purpose of cheating.,Up to 7 years imprisonment
471,Using as genuine a forged document,Using a forged document as if it were genuine.,Punishment as applicable for forgery.
477,Fraudulent cancellation or destruction of accounts,Destroying or falsifying accounts dishonestly.,Up to 7 years imprisonment
482,Punishment for counterfeiting a property mark,Counterfeiting property marks with fraudulent intent.,Up to 2 years imprisonment
489A,Counterfeiting currency-notes or bank-notes,Producing counterfeit currency notes.,Up to life imprisonment
489C,Possession of forged or counterfeit currency-notes,Possessing counterfeit currency notes with knowledge.,Up to 7 years imprisonment
493,Cohabitation caused by deceit,Causing a woman to believe she is legally married and cohabiting.,Up to 10 years imprisonment
496,Marriage ceremony fraudulently gone through,Performing fraudulent marriage ceremonies.,Up to 7 years imprisonment
499,Defamation,Making false statements that harm a person's reputation.,Up to 2 years imprisonment
503,Criminal intimidation or Threatening injury to a person, property or reputation.,Up to 2 years imprisonment
506,Punishment for criminal intimidation,Punishment for criminal intimidation.,Up to 7 years imprisonment
509,Word; gesture or act intended to insult modesty of a woman,Using any word; gesture; or act intended to insult the modesty of a woman.,Up to 3 years imprisonment
511,Attempting to commit offenses punishable with life or other imprisonments,Attempting an offense punishable with imprisonment.,Half the punishment of the intended offense.
512,Punishment for certain offenses committed beyond India,Punishment for offenses committed outside India but applicable under IPC.,As per respective section.
513,Impersonation for cheating,Personating another with intent to cheat.,Up to 3 years imprisonment
514,Offering false information to prevent summons,Giving false information to prevent legal proceedings.,Up to 2 years imprisonment
515,Aiding escape of prisoner,Helping a prisoner to escape from lawful custody.,Up to 7 years imprisonment
516,Harboring offenders,Knowingly harboring a person who has committed an offense.,Punishment as applicable to the offender.
517,Public servant disobeying law,Public servant disobeying the law with intent to cause harm.,Up to 1 year imprisonment
518,Fabricating false evidence,Creating false evidence to mislead judicial proceedings.,Up to 7 years imprisonment
519,Punishment for perjury,Giving false evidence in a judicial proceeding.,Up to 7 years imprisonment
520,Falsifying official records,Tampering with official records to cause harm.,Up to 3 years imprisonment
521,Fraudulent execution of deeds,Fraudulently executing or altering deeds.,Up to 7 years imprisonment
522,Public mischief,Spreading false information to create public disorder.,Up to 3 years imprisonment
523,Defiling public property,Destroying or defiling public property with intent to harm.,Up to 2 years imprisonment
524,Tampering with court documents,Altering or destroying court records unlawfully.,Up to 7 years imprisonment
525,Endangering public safety,Acts that endanger public safety or security.,Up to 5 years imprisonment
